#{"t_start": 1770112823.1224694, "env_id": "LunarLander-v3"}
r,l,t
241.838081,243,3.341136
1.020163,1000,4.207191
33.40228,1000,5.080953
296.728123,235,5.290241
2.124233,90,5.371602
-0.017025,1000,6.242157
-34.950545,1000,7.105911
-79.915796,1000,7.969774
242.999663,633,8.529575
-19.809259,1000,9.404131
-59.811581,1000,10.279727
-40.369195,1000,11.141667
292.409615,259,11.929684
11.52624,1000,12.298055
7.268974,1000,12.670847
-47.119773,1000,13.043608
-34.288427,1000,13.415648
-13.890169,1000,13.789034
-0.908062,1000,14.157795
-10.443289,1000,14.529665
-47.586649,1000,14.90412
303.01573,281,15.01159
7.46775,1000,15.891883
-13.545811,1000,16.760723
37.408631,1000,17.627331
277.479814,170,17.77606
31.279291,1000,18.659242
42.440501,133,18.775589
2.478138,1000,19.644535
-17.530283,1000,20.520807
300.867058,316,20.797807
260.857236,263,21.029702
38.672665,205,21.210888
218.765677,571,21.714211
215.144466,601,22.248124
296.129818,320,22.533827
280.411025,364,22.864815
293.269125,230,23.070143
275.722235,322,23.354127
261.034377,195,23.52541
277.927884,208,23.874074
43.834251,119,23.919034
72.122779,198,23.993935
271.629564,256,24.091285
293.846558,242,24.184783
302.067222,177,24.253578
50.0717,158,24.313063
-269.150575,267,24.414325
297.906572,233,24.502567
150.998993,1000,24.900825
60.867162,123,25.020688
245.352854,457,25.424085
279.554266,205,25.583739
274.006979,393,25.882442
216.209081,480,26.28379
34.118354,135,26.40098
287.256796,265,26.635653
288.919073,237,26.846278
234.775898,681,27.447513
284.517545,300,27.713147
230.287732,272,27.955501
34.583919,101,28.044402
56.342467,1000,28.926235
249.606648,336,29.224561
67.90982,164,29.370924
56.607145,96,29.456914
297.560096,345,29.764689
22.694067,83,29.84292
58.644551,130,29.959284
0.826342,84,30.032524
128.692898,996,30.905752
22.041545,111,31.002823
287.37646,224,31.207971
-225.836263,205,31.393523
42.517983,130,31.50833
63.80156,139,31.627138
271.202715,203,31.813732
253.34711,292,32.07153
186.13773,179,32.231052
237.081457,613,32.765834
274.867687,425,33.146811
195.305047,571,33.898578
-49.919564,1000,34.27388
61.662536,141,34.327274
153.501511,1000,34.726836
-1.313695,1000,35.096374
-80.800525,1000,35.471003
-10.193508,1000,35.842381
37.332324,130,35.891716
298.852536,202,35.969996
177.821398,1000,36.384017
169.222403,895,37.331249
-95.897732,250,37.561803
256.06074,326,37.945005
30.608527,124,38.126851
247.159744,456,38.607522
275.773233,423,39.115816
278.204609,397,39.556244
271.775233,501,40.048857
235.647552,522,40.596411
270.949012,376,40.951423
254.186105,292,41.228221
202.317083,569,41.83999
52.810736,1000,42.701998
222.960467,512,43.186601
248.702555,397,43.561208
264.907208,461,44.065197
208.598725,745,44.804152
264.855848,237,45.032611
210.694194,507,45.509197
270.65548,436,45.896225
297.041958,345,46.207715
237.077788,302,46.523576
6.935453,1000,46.899093
234.78244,321,47.019965
208.04091,438,47.18376
219.896632,408,47.338414
244.106189,306,47.453835
267.996627,304,47.568307
265.300062,333,47.693676
256.742864,461,47.867841
231.464624,363,48.003845
275.890931,316,48.294078
221.180871,653,48.874902
261.402048,238,49.092983
257.606393,380,49.431638
284.945145,350,49.747005
255.993461,467,50.168598
274.232635,412,50.538215
283.875778,545,51.028712
204.467821,637,51.593118
7.794835,1000,52.483889
204.259493,469,52.847169
262.508156,156,52.9686
153.903433,963,53.714564
0.469065,1000,54.542584
229.341888,381,54.887861
174.439645,612,55.473163
21.883825,1000,56.307667
244.39313,404,56.890887
143.276686,801,57.21386
281.730989,346,57.353676
241.573797,478,57.542411
220.78712,478,57.731542
146.312421,953,58.105548
184.725287,774,58.419799
153.005164,905,58.786192
30.372443,1000,59.181455
3.828977,1000,59.577013
223.426999,476,60.12137
228.033956,709,60.83673
268.391902,424,61.21876
264.913989,464,61.701469
23.326732,1000,62.554637
225.619188,440,62.973
246.897279,230,63.216031
258.665173,355,63.507116
220.987918,719,64.088136
255.670078,284,64.322305
271.025552,460,64.698159
239.031173,483,65.081568
206.485938,682,65.608678
300.700818,211,65.772988
203.899294,555,66.195996
253.723959,264,66.400668
237.280389,646,66.902663
224.896682,732,67.46861
280.391137,313,67.708209
185.135336,671,68.381224
194.249578,750,68.667843
192.818238,546,68.876544
190.506418,567,69.090533
238.424657,649,69.333953
19.290863,1000,69.719566
187.555349,760,70.033337
7.107996,1000,70.424726
209.768987,708,70.697666
256.424184,460,70.870891
182.02778,537,71.295518
274.351618,345,71.560818
248.941812,375,71.851442
239.758944,412,72.164615
230.047941,390,72.462811
266.555448,434,72.805395
277.203975,161,72.956093
158.898468,883,73.72689
247.209976,416,74.063223
293.482303,353,74.34816
241.579538,469,74.868096
236.681333,560,75.392122
223.98746,500,75.895319
250.523339,260,76.110261
263.474675,353,76.401647
251.701663,569,76.967686
263.051227,399,77.309324
239.79008,495,77.712904
246.224932,598,78.198696
302.374872,170,78.329121
258.443729,285,78.578401
212.954043,318,78.855006
227.962199,367,79.139627
229.783924,255,79.504328
259.928758,289,79.613625
219.328871,334,79.739941
271.562788,376,79.883881
240.709205,502,80.076656
281.478552,367,80.21807
218.679881,328,80.341777
284.558808,316,80.46174
263.005775,284,80.568741
218.91244,390,80.715663
252.872899,423,81.050933
274.396738,384,81.389652
266.353263,534,81.897953
263.996371,283,82.15167
274.644797,333,82.429736
233.776061,486,82.967231
242.743096,323,83.28334
269.090863,208,83.502506
265.54007,249,83.722386
231.266875,516,84.139167
239.721055,450,84.531912
242.414415,558,85.168726
268.120022,299,85.495211
269.617547,333,85.808338
283.721451,219,86.011055
240.131691,527,86.571219
238.26187,357,86.949035
278.655518,232,87.188829
236.485288,611,87.782622
270.898912,190,88.000666
257.615536,308,88.310374
177.789697,623,88.907235
293.557083,299,89.18955
223.929101,556,89.716915
297.173958,280,89.975555
189.707629,866,90.670739
304.712692,310,90.788617
287.63414,234,90.878236
253.735254,217,90.960407
244.012889,387,91.106308
168.30919,1000,91.507766
270.502047,251,91.602907
198.687397,508,91.794244
165.253295,1000,92.199672
301.10458,193,92.273102
239.205868,302,92.547597
247.683679,392,92.856747
260.606786,286,93.080846
284.683388,270,93.292731
259.989164,501,93.674537
291.800498,341,93.93626
269.608052,251,94.132331
230.471973,426,94.456478
197.234042,473,94.827542
269.818504,287,95.047118
247.230623,251,95.246573
284.616892,191,95.394335
294.610407,336,95.651556
278.408066,317,95.894537
313.475975,474,96.269603
258.781803,327,96.523153
307.247032,291,96.745127
231.981343,314,96.984384
282.884112,311,97.228238
270.262221,210,97.390873
295.82146,215,97.560731
279.455041,182,97.701165
246.737105,231,97.881616
278.758687,242,98.067961
276.953383,473,98.436457
202.359655,521,98.836493
302.359773,315,99.085754
199.697802,947,99.846921
265.720639,240,100.0339
255.936523,398,100.248791
248.692706,432,100.410765
243.67804,442,100.577164
191.214092,465,100.752885
221.354022,374,100.893056
164.041271,689,101.151847
280.271445,195,101.227284
285.294755,215,101.309511
288.22918,191,101.382017
269.526733,377,101.523133
245.86863,477,101.894304
278.741578,257,102.097107
275.468184,240,102.284597
289.268871,364,102.569488
256.708072,310,102.815713
68.990512,119,102.909081
306.288443,317,103.15631
7.5217,127,103.255046
279.385918,171,103.388916
265.541841,257,103.588798
282.901456,275,103.798826
275.038721,225,103.973437
283.419252,285,104.191392
290.797882,230,104.37202
260.776758,341,104.632694
296.554206,297,104.861659
316.237867,201,105.019659
204.402711,611,105.499367
291.694889,428,105.866735
276.10011,188,106.034115
254.26593,169,106.182521
236.643674,248,106.380635
262.975502,211,106.544391
219.554042,331,106.834276
61.576611,143,106.946325
55.920602,149,107.061688
60.979558,137,107.166768
233.078223,416,107.486562
262.794266,332,107.741992
238.488744,656,108.251758
254.48354,442,108.592525
236.611977,229,108.768359
236.072856,274,108.980804
310.743406,203,109.14122
281.373589,227,109.31816
185.041186,1000,109.805415
155.610283,1000,110.206706
301.918785,304,110.321906
250.865352,246,110.414916
237.30298,342,110.543845
103.715146,1000,110.942553
101.320484,1000,111.330699
272.394149,357,111.464535
278.760559,193,111.538062
60.440022,121,111.58394
296.882783,274,111.802757
231.902321,233,111.980984
299.899778,283,112.203353
248.262359,236,112.384702
290.87065,225,112.559217
259.821507,161,112.682761
36.231808,142,112.794882
231.232916,430,113.123781
284.906277,334,113.381026
268.370875,193,113.52941
298.571293,257,113.73043
268.300142,255,113.928577
286.773382,277,114.143429
222.529366,573,114.58203
251.102065,195,114.733471
62.085109,108,114.815694
31.481071,126,114.913637
238.509705,840,115.578725
280.637631,198,115.732905
59.671644,141,115.842155
299.749833,332,116.097207
28.188777,121,116.190041
282.517779,204,116.348897
253.169772,214,116.51263
307.883158,268,116.718655
43.548373,120,116.80994
284.287414,171,116.944597
35.90616,175,117.078645
259.19675,237,117.259755
277.290231,293,117.486772
241.658549,185,117.645652
306.398871,253,117.852615
49.758631,143,117.970157
33.207422,130,118.074946
22.737092,124,118.180534
274.400734,266,118.404598
108.482148,1000,119.215709
45.187479,106,119.298465
11.313321,112,119.482748
298.534939,244,119.577166
29.747974,109,119.619103
134.676328,1000,120.026971
11.237242,101,120.067315
237.325835,239,120.165365
254.665062,216,120.250962
243.382976,229,120.345253
277.609477,153,120.415099
254.931741,166,120.498676
223.807434,405,120.918759
285.572018,274,121.180575
13.126482,99,121.312253
277.634283,214,121.544757
21.765258,95,121.658499
283.110532,280,121.950931
15.959609,112,122.057194
256.844983,604,122.694396
285.238853,281,123.002499
256.186281,172,123.156601
32.630331,92,123.231631
320.836496,194,123.437047
230.265417,196,123.635721
210.920101,199,123.821777
10.85143,111,123.921385
278.875377,199,124.090973
296.098322,257,124.312139
272.57534,242,124.515594
31.047636,116,124.653948
11.793287,119,124.793092
40.713614,157,124.93867
50.29068,148,125.086978
279.573967,235,125.333342
240.087014,410,125.781546
287.470943,158,125.953652
253.712771,208,126.178059
-6.063263,101,126.282788
29.966903,124,126.412349
201.004167,208,126.632176
252.662689,234,126.869827
275.323714,321,127.182159
257.79379,209,127.371517
61.496577,85,127.452662
44.291276,98,127.567987
270.548769,444,128.058137
30.019991,98,128.14712
156.186258,1000,129.151157
19.281719,110,129.25459
15.188959,127,129.366206
23.891658,123,129.468089
20.482675,138,129.589737
35.209207,97,129.669668
236.145502,314,130.085784
18.143108,115,130.188072
31.435127,115,130.290647
57.712316,218,130.518049
16.631876,117,130.647921
149.722034,1000,131.087892
229.409158,231,131.180318
215.681069,217,131.268875
218.646673,239,131.364855
146.35053,1000,131.797834
151.338291,1000,132.246351
18.484546,131,132.29833
30.667377,121,132.346201
37.701077,111,132.390412
43.909488,129,132.44199
73.015956,97,132.54408
34.785922,127,132.663797
40.071101,96,132.751648
241.732354,329,133.062671
46.77647,127,133.189664
284.903497,258,133.437386
265.439753,233,133.658882
234.786574,383,134.115709
44.698658,109,134.217759
26.618448,132,134.345881
27.844133,118,134.461377
50.229324,155,134.605386
33.952759,108,134.708754
132.37716,1000,135.664735
270.333985,244,135.883182
40.01769,151,136.032328
66.163297,108,136.198994
29.024314,129,136.348732
42.017496,120,136.471188
208.729679,293,136.753493
229.881896,419,137.305846
244.489246,472,137.703864
282.94142,347,138.000628
219.913116,245,138.201728
240.81744,586,138.722431
56.492254,152,138.964204
236.622022,257,139.18081
290.996473,270,139.425063
283.484501,308,139.675963
275.055426,329,139.956381
285.952588,286,140.204037
274.18359,306,140.458735
234.126665,838,141.160782
285.139118,237,141.360131
266.009749,272,141.648027
72.399123,145,141.798505
242.857664,221,142.077321
240.347771,327,142.206025
216.369844,319,142.333872
126.103007,1000,142.732531
236.413002,202,142.810155
299.320857,177,142.87831
237.193893,235,142.968344
313.303713,181,143.038113
295.851949,266,143.139498
241.758482,260,143.238711
270.546858,293,143.471827
251.171361,612,143.953766
101.778754,1000,144.748557
257.859427,296,144.977427
259.463476,448,145.33406
59.359288,134,145.439593
219.768815,364,145.723967
292.998623,265,145.928753
59.802356,173,146.067218
282.609643,327,146.319284
210.548036,599,146.788831
293.277161,261,146.994438
292.50961,196,147.147061
236.825299,206,147.307943
257.033497,272,147.519852
298.907965,231,147.706551
239.764121,213,147.907531
293.479411,259,148.168133
307.352656,217,148.350722
200.768921,564,148.975192
293.42264,234,149.273267
279.223159,254,149.505461
243.176689,202,149.67964
264.535433,204,149.865782
74.530453,119,149.969752
283.223142,181,150.137147
228.438402,397,150.612364
249.457241,193,150.814674
262.445622,270,151.10027
282.219712,346,151.444709
32.736842,163,151.648119
225.129041,418,152.077514
260.772718,266,152.264508
271.07498,213,152.349746
276.965575,273,152.45738
66.803147,136,152.511614
235.943604,365,152.654081
264.905649,198,152.73597
165.86512,1000,153.15693
101.460286,1000,153.554175
59.292054,155,153.61465
274.488941,256,153.714118
255.934076,229,153.906202
219.555639,278,154.130803
287.826455,153,154.266048
286.058884,159,154.433411
271.986905,411,154.813984
286.99396,244,155.036814
44.403809,145,155.153442
231.806641,392,155.493254
39.628216,145,155.656614
257.618255,545,156.173596
57.549839,116,156.270716
295.581675,215,156.464158
263.904673,238,156.678252
289.020398,300,156.928142
216.913946,789,157.564082
275.441291,476,157.935085
260.395362,794,158.565552
290.993788,186,158.711866
259.427137,393,159.017547
240.607258,348,159.2916
282.074057,229,159.471711
278.781815,257,159.674649
260.257454,211,159.840142
258.172686,297,160.070682
237.001377,316,160.316462
242.000284,365,160.597712
257.13963,413,160.940307
272.816222,185,161.093933
296.522071,179,161.231729
238.003246,378,161.525208
242.700374,281,161.742262
303.350985,214,161.908402
258.217852,317,162.119286
258.297977,184,162.189754
309.797203,224,162.275582
270.113183,225,162.363648
261.50177,966,162.761342
151.396348,1000,163.174118
274.002852,190,163.253929
258.884128,802,163.635673
264.168051,264,163.760195
266.563748,202,163.851618
55.962676,172,164.050214
78.71559,120,164.174448
284.436275,331,164.496172
18.928036,94,164.598033
295.248268,176,164.78239
264.399152,258,165.039055
52.404703,112,165.156123
308.785008,264,165.422282
268.839588,194,165.624329
267.719444,177,165.800242
279.437382,222,166.034456
294.941029,290,166.343616
239.563459,250,166.595315
291.863216,199,166.790741
296.594894,242,167.015952
296.956525,301,167.292432
52.819999,134,167.415852
309.761583,270,167.684361
289.894045,413,168.078371
281.6193,288,168.348344
257.349842,267,168.59473
298.841417,286,168.865696
284.838589,217,169.067401
290.709502,241,169.287965
267.081267,216,169.488153
77.612129,130,169.615639
282.129189,241,169.846473
280.919294,415,170.259843
289.334247,255,170.509768
280.149767,191,170.70152
275.368688,181,170.876792
262.06881,250,171.114288
235.483071,213,171.3209
49.028054,115,171.433079
272.918448,339,171.781424
281.424777,225,172.005992
295.610062,235,172.225662
263.16538,270,172.508027
251.493649,242,172.764937
297.88835,439,173.185092
286.011156,235,173.402416
287.799939,206,173.594417
300.853835,290,173.799872
264.849669,286,173.918052
306.345315,175,173.990644
269.103382,263,174.099389
239.065688,244,174.198802
276.161449,536,174.430056
272.800093,181,174.506314
154.230767,1000,174.936826
255.97282,218,175.027524
288.609095,237,175.127438
285.502327,231,175.362792
314.760815,235,175.582721
306.875144,198,175.766586
273.01678,346,176.090585
49.826874,138,176.215859
255.278303,430,176.61616
302.63697,224,176.823961
259.231797,234,177.05513
261.28486,186,177.227082
285.725795,248,177.456828
282.215502,200,177.641816
284.529374,294,177.928556
32.862322,103,178.03157
274.472959,177,178.198868
285.606295,304,178.479684
271.14483,210,178.692946
280.491307,210,178.89184
266.682896,332,179.221095
263.896854,242,179.451591
303.261354,258,179.684802
297.797428,211,179.878733
271.393169,244,180.099879
282.970246,199,180.281668
236.809509,211,180.472228
252.057211,228,180.664885
287.630504,274,180.896181
292.526792,216,181.095545
303.99247,208,181.295986
280.002264,215,181.507276
297.534377,196,181.693045
260.937304,315,182.020218
287.715066,274,182.268048
306.141403,245,182.481854
284.59453,192,182.651043
303.620425,234,182.849087
257.84037,197,183.023608
277.514127,193,183.209701
288.064154,264,183.451624
271.285776,197,183.641571
290.187885,304,183.901109
304.840343,221,184.085812
241.868457,205,184.264851
299.235412,224,184.496402
301.937273,172,184.566853
307.788602,214,184.652093
302.591341,208,184.733959
272.4926,198,184.812356
297.549055,203,184.895186
264.965633,207,184.979006
250.211653,211,185.062969
281.713513,216,185.150373
295.921364,216,185.235338
205.517438,390,185.639256
296.758589,233,185.871695
298.701698,219,186.092809
249.240006,207,186.310238
304.137458,205,186.51638
282.435817,173,186.698902
312.529841,184,186.9062
224.971332,232,187.17261
288.432878,188,187.359391
270.117293,354,187.672718
301.469409,267,187.932852
300.773054,162,188.093216
259.806249,188,188.294695
261.490356,185,188.482965
304.931347,176,188.640337
228.306618,193,188.810585
271.929647,210,188.991816
291.902738,287,189.243385
256.233147,249,189.489521
278.435612,251,189.749686
278.038721,241,189.964873
312.507455,268,190.206024
255.406223,287,190.494085
248.123112,271,190.813013
296.954477,253,191.050539
284.290544,198,191.228402
295.109358,188,191.386861
276.176954,243,191.597305
281.832138,257,191.822738
252.033115,231,192.051243
275.386928,527,192.645596
250.373177,217,192.878909
310.499143,215,193.122933
279.433975,252,193.381159
314.132806,233,193.629196
293.757156,255,193.873522
286.072449,159,194.025923
259.240581,201,194.222955
293.359638,664,194.804063
287.175001,194,194.97304
287.166221,213,195.141096
270.013638,205,195.224492
254.935383,187,195.299139
269.824261,173,195.367775
262.274295,177,195.437374
274.834856,221,195.523721
289.021316,223,195.61027
240.146268,174,195.678203
297.412039,211,195.760689
285.727413,182,195.832389
277.015312,189,196.020517
288.306152,195,196.205556
298.096479,234,196.430518
283.397606,192,196.613094
275.753654,216,196.821924
287.198275,196,197.007568
262.115391,178,197.181539
297.562534,227,197.395077
256.583847,224,197.605987
236.409027,180,197.769072
164.341336,1000,198.776136
293.786324,283,199.043172
289.627099,192,199.223878
291.827574,232,199.448521
156.55069,1000,200.435529
260.757903,337,200.766316
301.872652,228,200.992174
288.426583,255,201.252064
286.62074,386,201.650136
295.010965,186,201.835715
265.760048,292,202.09775
245.600197,234,202.291337
280.507465,223,202.480528
183.827358,1000,203.444644
292.65906,162,203.612823
245.456587,200,203.799378
262.468227,230,204.036583
307.127904,225,204.26611
282.639536,323,204.598668
297.043152,256,204.838075
279.529425,265,205.11034
22.464957,95,205.195809
293.594235,226,205.419707
287.347177,164,205.618259
267.948847,155,205.679989
286.91388,208,205.764908
259.213338,178,205.838285
281.811785,223,205.929867
279.063109,187,206.007254
277.693944,163,206.074986
